Genre,Description
Disco house,"La disco house, est un sous-genre de la musique house ayant émergé au milieu des années 1990, représenté par des disc jockeys comme Terrence Parker ou Joey Negro. Le style se caractérise par une base disco très prononcée et l'utilisation d'échantillons sonores issus du disco des années 1970 et 1980."
Disco polo,Le disco polo est un genre musical de musique populaire de danse originaire de Pologne.
Diva house,"La diva house, ou handbag house, est un sous-genre musical de la house popularisé dans les clubs gay pendant la seconde moitié des années 1980. La handbag house est l'un des sous-genres les plus célèbres et accessibles du genre dance. Selon The Encyclopedia of Contemporary British Culture, la handbag house se caractérise par « des chants féminins, des breakdowns, et par la prolifération de stabs de piano. » Les compositions modernes de diva house utilisent des stabs de synthétiseurs et un rythme 4/4."
Dixieland,"Le dixieland  aussi appelé early jazz, est un genre de jazz développé dans la ville de La Nouvelle-Orléans au début du XXe siècle, et diffusé à Chicago et New York par des groupes de La Nouvelle-Orléans dans les années 1910. Certains classiques jazz de l'époque dixieland, tels que Basin Street Blues et When the Saints Go Marching In, sont également connus par les auditeurs non adeptes de jazz."
Djent,"Le djent est une appellation non officielle utilisée  pour désigner le metal progressif ou mathcore,,. Le mot « djent » est tiré de l'onomatopée produite par le son d'une guitare accordée basse, à haut gain et forte distorsion, utilisant la technique du palm mute, employé par des groupes comme Meshuggah et SikTh. Le terme est attribué au guitariste de Meshuggah Fredrik Thordendal, mais a été popularisé par la suite sur internet par le guitariste Misha Mansoor, actuel guitariste de Periphery . Le mot djent est à la fois utilisé pour définir le style usant de cette sonorité et le son lui-même."
Doo-wop,« Doo-wop » est une onomatopée qui sert à désigner un sous-genre du rhythm and blues.
Doom metal,"Le doom metal est un genre musical fortement influencé par les premières chansons de Black Sabbath, ce dernier ayant lancé les prémices du doom metal avec des chansons telles que Black Sabbath, Electric Funeral et Into the Void au cours de la première moitié des années 1970, et un certain nombre de groupes apparus en Angleterre , aux États-Unis  et en Suède  ont aidé à définir le doom metal."
Downtempo,"Le downtempo  est un genre de musique électronique similaire à l'ambient, relativement lent et mélodieux. Le style émerge au début des années 1990 avec des groupes tels que Kruder und Dorfmeister et Thievery Corporation. Il était souvent joué dans les bars et clubs  chill-out, voire certaines raves ou autres fêtes extérieures. Il s'est depuis popularisé, et on peut le retrouver dans de nombreuses ambiances commerciales hypes, à l'instar de l'easy listening. Un groupe comme Tosca  est ainsi devenu assez célèbre au début des années 2000 pour être mentionné par le Washington Post."
Dream pop,"La dream pop est un sous-genre de rock alternatif caractérisé par son utilisation des textures sonores et son chant murmuré. Le terme est employé à la fin des années 1980 par Alex Ayuli pour décrire la musique de son groupe A. R. Kane,. Peu après, le journaliste Simon Reynolds utilise le terme pour parler de la scène anglaise associée au shoegazing. Reynolds est généralement considéré comme le premier critique à avoir utilisé l'expression « dream pop » pour décrire un genre musical,."
Dream trance,"La dream trance  est un sous-genre musical de la trance et de la house ayant émergé dans la seconde moitié des années 1990 en Europe. Sa particularité est d'utiliser en premier plan une mélodie de synthétiseur avec un son de piano, le tout à grand renfort de nappes planantes et de beats techno. Les pochettes des disques, qu'il s'agisse des singles, maxis, albums ou compilations, présentent presque systématiquement des paysages idylliques ou holographiques ."
Drill,La drill  est un sous-genre musical du hip-hop lancé par les jeunes rappeurs et producteurs originaires des quartiers de South Side à Chicago.
Drill and bass,"La drill and bass, aussi stylisé drill 'n' bass, aussi appelé fungle et spunk jazz, est un genre de musique électronique qui a émergé de la scène drum and bass au milieu des années 1990. Des artistes tels que Luke Vibert, Squarepusher, et le plus connu, Aphex Twin ont créé ce genre en 1995."
Drone,"Le drone, drone ambient, ambient drone,, ou musique drone,, est un genre musical minimaliste faisant essentiellement usage de bourdons , utilisant des sons, notes et clusters maintenus ou répétés. Il est typiquement caractérisé par de longues plages musicales présentant peu de variations harmoniques."
Drum and bass,"La drum and bass, parfois stylisé drum'n'bass, drum bass ou abrégé DnB, est un genre de musique électronique apparu au Royaume-Uni, plus précisément dans la région de Bristol, vers 1996-1997 au remplacement de l'amen break par le 2-step, marquant la fin de l'ère jungle,. Le terme drum and bass lui, est apparu vers 1992, pour désigner le breakbeat hardcore. Elle est caractérisée par un rythme breakbeat, une structure rythmique 2-step et des lignes de basse lourdes à basse fréquence. Ces deux composantes constituent l'essence du genre. La mélodie est habituellement minimale et sert généralement d'emphase aux percussions qui sont extrêmement répétitives. La drum and bass peut être accompagnée de textes dits de manière rapide et rythmés par un MC."
Drumfunk,"La drum and bass, parfois stylisé drum'n'bass, drum bass ou abrégé DnB, est un genre de musique électronique apparu au Royaume-Uni, plus précisément dans la région de Bristol, vers 1996-1997 au remplacement de l'amen break par le 2-step, marquant la fin de l'ère jungle,. Le terme drum and bass lui, est apparu vers 1992, pour désigner le breakbeat hardcore. Elle est caractérisée par un rythme breakbeat, une structure rythmique 2-step et des lignes de basse lourdes à basse fréquence. Ces deux composantes constituent l'essence du genre. La mélodie est habituellement minimale et sert généralement d'emphase aux percussions qui sont extrêmement répétitives. La drum and bass peut être accompagnée de textes dits de manière rapide et rythmés par un MC."
Drumstep,"Le drumstep est un sous-genre musical de la drum and bass et du dubstep popularisé par l'artiste Pendulum, qui est considéré comme un des pionniers du genre,. Le style ressemble au dubstep dans la sonorité, cependant le tempo de la dubstep est à 140-145 BPM alors que celui de la drumstep est à 160-175 BPM, plus proche de la drum and bass."
Dub,"Le dub est un genre musical issu du reggae jamaïcain, un remixage réalisé en temps réel à partir de bandes magnétiques par des ingénieurs du son. Il est, à l'origine, un remixage radical qui met en avant le couple rythmique basse et batterie et des effets de son. Inventé, développé et perfectionné par l'ingénieur du son jamaïcain King Tubby, il connaît son âge d'or dans les années 1970. À partir de 1985 apparaît l'utilisation massive d'instruments électroniques, puis numériques, en Jamaïque comme en Grande-Bretagne. Dès lors, le rôle de plus en plus important joué par les ingénieurs du son dans la musique populaire rend floue la frontière entre dub et autres musiques du même type. Différents styles de musiques numériques revendiquent néanmoins l'étiquette dub."
Dub poetry,"La dub poetry est une forme d'expression poétique née dans la communauté jamaïcaine, en Grande-Bretagne et en Jamaïque, à la fin des années 1970."
Dub techno,"La dub techno est un genre de techno minimale, mélangeant techno et dub. Elle est apparu dans les années 1990. Le groupe Basic Channel est largement considéré comme l'inventeur du genre."
Dubstep,"Le dubstep est un genre de musique électronique, originaire pour sa plus grande partie du sud de Londres, à Croydon. Il émerge à la fin des années 1990 et se développe grâce à de nombreux styles musicaux connexes tels que le 2-step garage, broken beat, drum and bass, jungle, dub et reggae. Au Royaume-Uni, les origines du genre peuvent être retracées lors de l'émergence du sound system jamaïcain au début des années 1980,."
Dubstyle,"Le hardstyle  est un genre de musique électronique ayant émergé aux Pays-Bas et en Belgique à la fin des années 1990 et au début des années 2000. Il se popularise par la suite dans les pays européens limitrophes et concrètement à l'international au début des années 2010. Musicalement, le genre mêle techno hardcore et hard trance. Le style musical se caractérise principalement par une ligne de kicks et de basses lourds ou distordus, de mélodies et sons synthétisés dissonants, dont le tempo est généralement situé entre 140 et 165 BPM. Au fil du temps, les musiciens du genre parviennent à en tirer plusieurs sous-genres comme le happy hardcore, l'euphoric melody et le rawstyle, tous les styles en filiation avec le hardcore, kick and bass avec généralement une mélodie sensible, ou redondante."
Dunedin sound,Le Dunedin sound est un genre d'indie pop lancé au début des années 1980 en Nouvelle-Zélande dans la ville universitaire de Dunedin.
Dutch house,"L'electro house est un genre de house. Le genre est principalement influencé par l'électro, electroclash, la pop, la synthpop,, et la tech house,,. Le terme est utilisé pour décrire le style d'artistes que l'on retrouve dans le classement DJ Mag Top 100 DJs tels que deadmau5, Kaskade, Knife Party, Madeon, Porter Robinson, Zedd."
Early hardcore,"Le early hardcore est un genre de musique électronique lancé au début des années 1990 dans le mouvement techno hardcore, et l'un des deux styles musicaux distincts du gabber."
Easycore,"Le easycore, aussi appelé softcore, est un sous-genre musical du punk rock, résultant du mélange de pop punk, power pop et de punk hardcore, metalcore, voire de hardcore mélodique."
Electro,"L'electro  est un genre de musique électronique directement influencée par l'utilisation d'une boîte à rythmes,, comme la TR-808, et de quelques samples dérivés du funk,."
Electro house,"L'electro house est un genre de house. Le genre est principalement influencé par l'électro, electroclash, la pop, la synthpop,, et la tech house,,. Le terme est utilisé pour décrire le style d'artistes que l'on retrouve dans le classement DJ Mag Top 100 DJs tels que deadmau5, Kaskade, Knife Party, Madeon, Porter Robinson, Zedd."
Electro swing,"L'electro swing est un sous-genre de la house qui est dérivé du swing et du jazz manouche. Il mélange des sonorités des années 1920 à 1940 avec différents styles de musiques électroniques. Le genre est représenté par des artistes comme Bart&Baker, Caravan Palace et Parov Stelar,."
Electroclash,"L’electroclash, également connu sous les termes retro electro, tech pop, nouveau disco, la new new wave — avec ambiguïté synthcore et electropunk — est un genre musical mêlant electro des années 1980, new wave et synthpop à de la techno des années 1990, de l'electropop retro et de la dance,,. Il émerge dans les villes de New York et Détroit à la fin des années 1990, lancé par des groupes comme Collider, I-F  et ceux associés à Gerald Donald, et s'associe à des groupes comme Peaches, Adult, Legowelt, et Fischerspooner. Il est popularisé par l'Electroclash Festival en 2001 et 2002 et par ses autres tournées européennes, et devient un style distinct au début des années 2000, lorsqu'il utilise des éléments tech house pour former le genre electro house."
Électro-industriel,"L'électro-industriel est un genre musical inspiré de l'EBM et de la musique post-industrielle, développé au milieu des années 1980. Tandis que l'EBM se définit par une structure minimale et une production claire, l'électro-industriel, en revanche, se définit par une sonorité complexe. Le style est mené par Skinny Puppy, Front Line Assembly, et d'autres groupes, originaires du Canada ou du Benelux. Au début des années 1990, le style développe le genre dark electro et, au milieu ou fin des années 1990, son genre dérivé l'aggrotech. Les fans du style sont habituellement associés au mouvement rivethead."
Electronic body music,"L'electronic body music  est un genre musical mêlant les éléments sonores de la musique post-industrielle et du synthpunk. Le genre émerge initialement en Belgique, et fait partie intégrante du mouvement new wave. L'electronic body music originale est souvent appelée old-school EBM, et ne doit pas être confondue avec l'aggrotech, le dark electro ou la musique industrielle."
Electronic dance music,"L'electronic dance music , également connu sous les termes dance music, club music, ou simplement dance, définit une variété de genres de musique électronique entièrement composés pour danser. Ces genres sont principalement joués dans des petits locaux comme les clubs et discothèques, des événements sauvages comme les rave parties, et de grands événements comme les festivals musicaux. Cette variété est produite et jouée par des DJ lors de mixsets durant lesquels les DJ entremêlent plusieurs chansons."
Electronica,"L'electronica est un genre musical recouvrant une large variété de musique électronique contemporaine. Contrairement à la dance , certaines chansons electronica ne sont pas nécessairement composées pour danser,. Le genre n'est pas précisément défini, et est caractérisé différemment selon les régions et périodes."
Electronicore,"L'electronicore, également connu sous le terme de synthcore,, désigne un mélange stylistique de post-hardcore et de metalcore avec la musique électronique,,, en particulier l'electronica,,. Des artistes notables du genre sont originaires d'Angleterre,, des États-Unis,, du Canada, de France, de Hong Kong, et du Japon."
Emo,"L'emo  est un style musical de pop punk caractérisé par des paroles expressives, éminemment politiques et axées sur la catharsis, l'expression de soi. Le genre émerge durant les années 1980 au sein de la scène punk hardcore de Washington, ville dans laquelle il est connu sous les termes d'« emotional hardcore » ou d'« emocore », et est développé par des groupes tels que Rites of Spring et Embrace. Il trouve ses racines au cœur de la scène post-hardcore, du mouvement straight-edge et du Revolution Summer. Dans les années 90, l'emo évolue et se mêlera à d'autres courants musicaux issus du punk, comme le pop punk, ainsi qu'au rock indépendant, via des formations telles que Jawbreaker et Sunny Day Real Estate. Il prendra également une tournure plus radicale et agressive via le screamo, façonné par des groupes comme Still Life, Indian Summer, Moss Icon, Orchid ou Saetia. Au milieu des années 1990, un bon nombre de groupes emo émergent du Midwest et du centre des États-Unis, et de nombreux labels discographiques commencent à se spécialiser dans le style."
Emo pop,"L’emo pop  est un sous-genre musical usant d'éléments sonores issus de l'emo, la pop punk et de la pop. Il émerge aux États-Unis dans le Midwest comme un nouveau genre d'emo rock."
Éthio-jazz,L'éthio-jazz est un genre musical issu du jazz ayant émergé en Éthiopie  à la fin des années 1950 et devenue extrêmement populaire dans les bars et hôtels d'Addis-Abeba de 1960 à la fin des années 1970. L'éthio-jazz connait une redécouverte en Occident à la fin des années 1990 avec le travail de Francis Falceto qui permet la réédition des albums dans la collection « Éthiopiques » du label français Buda Musique.
Ethno-jazz,"L'ethno-jazz, ou aujourd'hui world jazz, est un genre musical mêlant jazz et musiques du monde. Certains de ses rythmes et harmonies prennent leurs sources dans d'autres continents comme l'Afrique, l'Asie ou l'Amérique latine. Il caractérise autant le jazz quand il prend des sonorités du monde, que les musiques du monde quand elle se teinte de jazz. Il fut souvent synonyme de world music avant les années 1990. Pharoah Sanders, Don Cherry, Jan Garbarek, Manu Dibango ou encore Miriam Makeba en sont les figures marquantes."
Euro disco,"L'euro disco  est une variété européenne de musique électronique ayant émergée dans les années 1970 ; elle incorpore des éléments de pop, new wave et de rock dans une ambiance disco. De nombreuses compositions d'Euro disco disposent de paroles chantées en anglais bien que les chanteurs n'aient pas nécessairement l'anglais comme langue maternelle."
Eurobeat,"L'Eurobeat est un genre musical et variante dance-pop britannique dérivé de l'Italo disco et de la hi-NRG, développé puis popularisé au milieu et à la fin des années 1980."
Eurodance,"L'eurodance ou dance, également connue sous les termes eurohouse, europop, eurotechno, euro-NRG et techno-dance, est un type de musique électronique ayant émergé à la fin des années 1980 et dont l'expansion s'est faite durant les années 1990. Elle mélange certains éléments des musiques house, hi-NRG, New beat avec les titres Cocaïne de The Maxx sortie en 1988, The Sound Of C des Confetti's sortie en 1988, Belgian Musictrain de Cold Sensation sortie en 1989, et l'euro disco. La production de l'eurodance continue à évoluer dans des styles modernisés qui incorporent des éléments sonores de la trance et de la techno."
Europop,"L'europop  désigne un genre de musique pop ayant émergé en Europe dans les années 1960 et développé à la fin des années 1970. L'europop atteint les classements dans les années 1980 et 1990. Les artistes europop à succès sont originaires de France, d'Allemagne, d'Italie, d'Irlande, des Pays-Bas et du Royaume-Uni. Dans les années 1970 et au début des années 1980, de tels groupes se popularisent en Europe continentale, excepté ABBA . Le quatuor suédois atteint un grand succès au Royaume-Uni, où il totalise dix-neuf chansons au top 10 et neuf albums dans les charts en Amérique du Nord et en Australie."
Extratone,"Le speedcore est un genre musical dérivé de la techno hardcore, directement influencé par la musique gabber, caractérisé par un BPM très rapide et frénétique  et un thème habituellement agressif. Ce genre marque un certain retour vers la musique industrielle : musique bruitiste, anticonformisme, expérimentations, parfois avec la volonté de ne faire que du bruit et de choquer les auditeurs ou parfois, au contraire, dans sa forme psychédélique extrêmement travaillée, de faire entrer les auditeurs en transe."
Fado,Descripción no encontrada
Fanfare,"Terme polysémique, le mot fanfare peut désigner différentes compositions musicales et divers ensembles de cuivres, accompagnés ou non de percussions."
Fidget house,"La fidget house est un style de musique électronique caractérisé par des parties vocales coupées en fonction du rythme, c'est-à-dire qu'à chaque coup de grosse caisse, la voix incorporée dans la musique est coupée et ainsi de suite et suivie d'un son rave ou electro."
Filin,"Le filin, du terme anglais feeling est un genre musical cubain né à partir de la seconde moitié des années 1940, qui fait la synthèse entre les rythmes cubains  et trova) et les standards de jazz. C'est César Portillo de la Luz avec des personnalités telles que José Antonio Méndez, Ñico Rojas, Aida Diestro, Elena Burke, Rosendo Ruiz  et le pianiste Frank Emilio, qui ont nourri le nouveau genre à partir de la seconde moitié des années 1940, en bousculer les vieilles habitudes de la trova cubaine et se connecter avec le public par l'émotion. C'est une version hispanisée du sentiment en anglais, qui dans sa racine étymologique signifie sentiment."
Flamenco,Descripción no encontrada
Folk,"La musique folk regroupe une variété de genres musicaux ayant émergé au début du XXe siècle, associés à la musique traditionnelle."
Folk metal,"Le folk metal est un genre musical fusionnel de heavy metal et de musique folklorique, ayant émergé en Europe au début des années 1990. Le genre conserve une forte base metal incluant une rythmique rapide et une guitare saturée, mais également des instruments traditionnels des cultures auxquelles il se réfère, tels la flûte et la cornemuse, entre autres. Certains groupes n'utilisent pas de tels instruments, mais montrent plutôt dans leurs textes de fortes influences mythologiques ou historiques. Certains groupes de folk metal utilisent des techniques de chant traditionnel et reprennent des poèmes ou des chansons directement issus du folklore."
Folk progressif,Le folk progressif est une partie assez importante du rock progressif qui trouve ses origines dans la scène folk rock psychédélique aux États-Unis à partir de la deuxième moitié des années 1960.
Folk psychédélique,"Le folk psychédélique, psych folk ou acid folk est une forme de musique psychédélique ayant émergé dans les années 1960 à travers la fusion entre la musique folk et le rock psychédélique. Elle fait usage de l'instrumentation acoustique du folk accompagnée des instruments musicaux du rock psychédélique."
Folk rock,"Le folk rock est un genre musical mêlant des éléments de musiques folk et rock. En son sens initial, le terme décrit un genre lancé aux États-Unis et au Royaume-Uni au milieu des années 1960. Pendant les années 1950 et 1960, la musique folk est renouvelée et jumelée grâce au mouvement rock 'n' roll de l'époque. Le genre est dit officiellement lancé par le groupe The Byrds, originaire de Los Angeles, qui jouera de la musique folk traditionnelle et de rock inspiré par les Beatles, et d'autres groupes britanniques,. Le terme de « folk rock » est lui-même utilisé pour la première fois par la presse musicale pour décrire la musique des Byrds en juin 1965, à la publication de leur premier album,. La reprise de la chanson Mr. Tambourine Man de Bob Dylan par les Byrds et son succès commercial mène à l'explosion du folk rock au milieu des années 1960,. Dylan lui-même influencera le genre, en particulier ses albums Bringing It All Back Home, Highway 61 Revisited, et Blonde on Blonde."
Folktronica,"La folktronica, aussi connu sous les noms laptop folk, et nu folk, est un genre musical incorporant des éléments de musiques folk et électronique. Le genre échantillone des instruments acoustiques et les combine avec des sons générés par ordinateur. Le terme a été utilisé pour décrire la musique de Kieran Hebden et de son projet Four Tet, de Tunng, de Caribou ou encore de RY X."
Freakbeat,"Le freakbeat est une expression employée pour désigner un style de rock 'n' roll en vogue à la fin des années soixante en Angleterre,."
Free jazz,"Le free jazz  est une approche du jazz qui se développe tout d'abord dans les années 1950 et 1960. La musique créée par les pionniers du free jazz présente des caractéristiques très diverses. Le mouvement naît de l'insatisfaction des limites qu'établissaient le bebop, le hard bop ou le jazz modal, développés dans les années 1940 et 1950. Chacun à sa manière, les musiciens de free jazz ont tenté d'altérer, d'étendre ou de rompre les conventions du jazz, bien souvent en se défaussant des caractéristiques jusqu'ici immuables tels que l'allégeance au tempo et les changements d'accords préalablement fixés. Communément considéré comme expérimental et d'avant-garde, le free jazz peut également être vu comme une tentative de retour aux racines du jazz, notamment par la dimension religieuse et l'improvisation collective."
Freeform hardcore,"Le freeform hardcore, originellement connu sous le terme de trancecore, est un sous-genre musical du Eurobeat, happy hardcore et du UK hardcore. La musique se compose généralement d'instruments en 4/4 beat, de lignes d'acid, hi-NRG et souvent d'éléments sonores issus de la hard dance. Le genre se développe tout d'abord sous les caractéristiques musicales du techno hardcore avant de dévier progressivement vers la trance. Il se développe considérablement durant les mixes de l'artiste britannique Sharkey dans les compilations Bonkers. Des labels discographiques tels que Thin 'n' Crispy, Nu Energy Collective et FINRG se sont dès lors spécialisés dans la musique freeform. Un artiste influençant, Kevin Energy, directeur du label Nu Energy, décrit le freeform comme un état d'esprit. FINRG, label de freeform, en Finlande compte plus de 100 000 téléchargements gratuits de ses musiques. Le trancecore des Pays-Bas est un mélange de psytrance, d'acid et de hardcore."
Freestyle,"Le freestyle ou latin freestyle est un genre musical de dance-pop ou dance ayant émergé aux États-Unis au milieu des années 1980. Il atteint son pic de popularité à la fin des années 1980 jusqu'au début des années 1990. Le genre est toujours d'actualité dans les années 2010 avec un certain regain de popularité, en particulier dans les communautés urbaines latinos et italo-américaines."
French touch,"La French touch , ou French house, est un courant musical né en France en 1990 et reconnu internationalement comme la déclinaison française de la musique house. Si, au départ, elle s'inscrivait dans cette dernière par l'utilisation de samples souvent puisés dans le funk et le disco, au fil des années, ses sources d'inspiration se sont étendues à tous les styles musicaux."
Frenchcore,"Le frenchcore est un genre musical dérivé de la techno hardcore, ayant émergé en France durant la fin des années 1990 et début des années 2000, à ne pas confondre avec le style vestimentaire du même nom."
Fun-punk,"Le fun-punk, ou originellement punk pathetique, est un sous-genre musical du punk rock britannique principalement actif entre 1980 et 1982, impliquant l'humour et les thèmes culturels de la classe ouvrière."
Funk,"Le funk est un genre musical ayant émergé vers le milieu des années 1960 aux États-Unis, dans la lignée du mouvement hard bop, et qui s'est développé au cours des années 1960 et 1970. Le terme funk provient de l'argot anglo-américain funky, qui signifie littéralement « puant », « qui sent la sueur », insulte traditionnellement adressée aux noirs par les WASP et reprise ensuite à leur compte par les artistes noirs tels que Horace Silver dans son morceau Opus de Funk . Issu principalement de la soul et du jazz, le funk se caractérise par la prédominance de la section rythmique  qui joue des motifs syncopés, la présence fréquente de cuivres ou de saxophones sur des ponctuations rythmiques  ou bien des solos et, de manière générale, par la grande place accordée aux instruments."
Funk rock,"Le funk rock, ou funk-rock, est un genre musical mêlant éléments de funk et de rock. James Brown, entre autres, déclare que Little Richard et son groupe au milieu des années 1950, The Upsetters, ont été les premiers à mêler funk et rock 'n' roll,."
Funk metal,Le funk metal  est un genre de funk rock et de heavy metal.
Funktronica,"La funktronica est un genre musical dérivé de la fusion entre electronica et funk. Certains artistes de funktronica adoptent des éléments sonores issus du jazz, de la soul et du RnB contemporain."
Funky house,"La funky house est un sous-genre musical de la musique house, orientée vers les succès commerciaux et influencée par le disco. Le genre est particulièrement populaire dans les années 2000."
Future bass,"La future bass est un ensemble de genres musicaux ayant émergé en 2006 au Royaume-Uni, aux États-Unis, en Australie, au Japon et en Chine. Il s'agit d'un genre musical large, comprenant une grande variété de sons et rythmes normalement produits par un synthétiseur."
Future garage,Le future garage est un genre musical de dance caractérisé par une variété d'éléments sonores issus de l'UK garage et du 2-step garage.
Future house,"La future house  est un genre de musique électronique décrit comme une fusion de deep house et de UK garage intégrant des éléments d'autres genres d'electronic dance music,,,."
G-funk,"Le G-funk  est un sous-genre du hip-hop, issu de la côte Ouest des États-Unis , influencé par l’atmosphère californienne et la musique funk. Le producteur et rappeur Dr. Dre, en particulier, popularisera ce courant musical au début des années 1990, bien que Les premiers exemples du genre ont commencé à apparaître en 1989 avec The D.O.C. It's Funky Enough and The Formula, le premier était l'un des premiers succès mineurs du genre, atteignant la 12e place du Hot R&B/Hip-Hop. Deux ans plus tard, en 1991, NWA a publié un autre premier exemple du genre avec leur album Niggaz4Life, qui a atteint le n°1 sur le Billboard 200,et le n°2 sur le Billboard's top R&B/Hip-Hop albums."
Gabber,Descripción no encontrada
Gaelic punk,"Le punk gaélique, punc Gàidhlig en gaélique écossais, ou Gaelic punk en anglais, est un sous-genre musical du punk rock regroupant des groupes chantant en gaélique écossais pour préserver et développer cette langue minoritaire. Le terme est aussi utilisé pour décrire l'influence de la musique celtique du groupe The Pogues. D'autres groupes se revendiquent ce style de punk comme Flogging Molly, Real McKenzies et Dropkick Murphys qui, tout en chantant en anglais, utilise des instruments gaéliques traditionnels comme la cornemuse et le violon."
Gangsta rap,"Le gangsta rap est un sous-genre du hip hop ayant émergé à la fin des années 1980 sur la côte ouest des États-Unis, et qui fut principalement véhiculé par des artistes comme Dr. Dre, Tupac, Snoop Dogg, Too Short, Ice T ou le groupe N.W.A. Il connait son apogée de départ à Compton , dans le comté de Los Angeles, à travers le groupe N.W.A. Les premiers rappeurs gangsta sont issus de gangs, et racontent leur vie dans la violence. C'est une des raisons pour lesquelles certains thèmes sont récurrents, comme notamment la drogue, la haine des représentants de la loi, le proxénétisme et l'argent. Cependant, au fil des années, les thèmes abordés par le genre évoluent pour être finalement présentés de façon idéalisée et erronée."
Garage house,Le garage house  est un genre musical apparenté au funk et au disco. Il doit son nom au club newyorkais Paradise Garage où officiait Larry Levan dès 1978. Son développement est quasiment contemporain du club Warehouse de Chicago. Le genre fait école et devient la house music au début des années 1980.
Garage punk,"Le garage punk est une fusion musicale du garage rock et du punk rock moderne. Elle se caractérise par des morceaux de guitare saturée et des paroles qui se centrent sur le mauvais goût et la rébellion, habituellement jouée par des groupes indépendants ou signés par des labels indépendants. Les groupes de garage punk se distancent souvent des groupes hardcore et de punk politique."
Garage rock,"Le garage rock est un genre de rock ayant émergé aux États-Unis et au Canada au milieu des années 1960. À cette période, le style n'est pas encore identifié et n'a pas encore reçu de nom. Mais la compilation Nuggets, publiée en 1972, parvient à normaliser et décrire le style."
Geek rock,"Le geek rock   est un sous-genre musical dérivé du rock alternatif et un genre similaire au nerdcore qui, lui, est dérivé du hip-hop. Il se caractérise par l'usage d'instruments de musique électronique et d'instruments inhabituels comparés à ceux utilisés dans la musique rock ; des références à la culture geek et aux intérêts souvent banals ; avec un soupçon d'humour."
Ghetto house,La ghetto house  est un genre de Chicago house reconnu comme genre distinct aux alentours de 1992. Il se caractérise par des chansons minimalistes utilisant une boîte à rythmes Roland TR-808 et Roland TR-909 et parfois des paroles à caractère sexuel.
Ghettotech,"La ghettotech, ou ghetto-tech, est un genre musical de musique dance ayant émergé à Détroit. Il s'inspire par la musique house de Chicago, la techno de Détroit avec un zest de hip-hop au rythme assez rapide  et aux textes très directs, parfois pornographiques. Descendant direct de la Miami bass inventée par les rappeurs des années 1980 en Floride, Disco D  est l'inventeur du terme. Les musiciens et groupes du genre incluent notamment DJ Assault, Mr. De, Disco D, DJ Nasty, DJ Omega, DJ Godfather, Sixfoe, et Cocky Balboa. Le label de musique Motor City Electro Company se spécialise dans ce sous-genre musical."
Glam metal,"Le glam metal  est un sous-genre musical de heavy metal ayant émergé à la fin des années 1970. Le son du genre, comme son nom l'indique, est situé entre le son du heavy metal de Black Sabbath, le son du hard rock de Kiss, et le son du glam rock de Sweet. Les textes traitent généralement de fête, de sexe, et d'alcool. Le glam metal est aussi connu pour son utilisation de power ballad."
Glam punk,Glam punk  est un terme utilisé rétrospectivement pour décrire le sous-genre musical de groupes qui produisaient au début des années 1970 une forme de protopunk incorporant des éléments de glam rock. Ces groupes comprennent les New York Dolls et Harlots of 42nd Street.
Glam rock,"Le glam rock, aussi appelé glitter rock, est un genre de rock qui s'est développé au Royaume-Uni dans les années 1971-1975, et a perduré jusque dans les années 1980. Par certains aspects, il est précurseur du mouvement punk, qui est apparu en 1977. À l'origine, le glam rock est considéré comme un mouvement purement britannique, avec pour principaux représentants T. Rex, David Bowie, Gary Glitter et Roxy Music mais certains musiciens américains comme les New York Dolls et Lou Reed ont aussi fait une incursion dans ce style."
Glitch,"Le glitch est un genre de musique électronique expérimentale ayant émergé au milieu des années 1990. Stricto sensu, le mot « glitch » désigne une brusque augmentation de tension provenant du dysfonctionnement  d'un dispositif électrique ou électronique. Les sons produits par ces phénomènes sont utilisés comme matériau sonore de compositions musicales. En ce sens, le glitch est plus une esthétique qu'un genre musical à proprement parler."
Glitch-hop,"Le glitch-hop est un genre de musique électronique dérivé des musiques glitch et hip-hop. Il s'agit essentiellement d'une branche du hip-hop qui fait usage de sons futuristes typiques du genre glitch, et des techniques IDM comme le cutting, le skipping ou encore le chopping. Le genre est principalement joué en live devant un public."
Goregrind,"Le goregrind est un sous-genre musical dérivé du death metal et du grindcore. Il existe deux principales branches musicales au sein de ce style, l'une au tempo très rapide , et Dysmenorrheic Hemorrhage), et l'autre au tempo lent et lourd ."
Gospel,"Le gospel est un genre de musique chrétienne avec des dominantes vocales qui varient selon la culture. Il s'est développé en même temps que le blues primitif. Les artistes modernes de gospel ont aussi intégré des éléments de musique soul. L'origine de ce style provient des afro-américains chrétiens évangéliques, suivant les negro spirituals."
Gospel blues,"Le gospel blues, ou holy blues, est un style de blues qui existe depuis l'origine du blues. Issu du gospel et des chants religieux, notamment évangéliques, le blues a toujours entretenu des liens étroits avec le gospel et le negro spiritual."
Gothabilly,"Le gothabilly  est un sous-genre du rockabilly. Le nom est un jeu de mots entre gothique et rockabilly. La première utilisation connue du nom vient des Cramps à la fin des années 1970, pour définir leur style punk rock orienté rockabilly,. Depuis ce moment, le nom est utilisé pour décrire la mode et la musique à la croisée des mouvements gothique et rockabilly."
